,SPENDMONEY,SPENDTIMES
298,559,12
299,14412,303
300,1368,29
301,150,3
302,1200,24
303,2127,45
304,1527,33
305,10763,221
306,24557,510
307,43324,896
308,2481,57
309,14227,287
310,1359,28
311,5286,109
312,2404,53
313,1550,31
314,550,11
315,20921,434
316,15862,332
317,2050,41
318,2318,48
319,1827,39
320,43743,897
321,4654,98
322,150,3
323,32793,678
324,450,9
325,1150,23
326,550,11
327,300,6
328,7977,162
329,9599,201
330,4377,90
331,17821,372
332,350,7
333,1895,42
334,2100,42
335,10926,230
336,9686,197
337,2686,57
338,2554,56
339,2827,59
340,809,17
341,5754,120
342,300,6
343,500,10
344,509,11
345,3168,65
346,2745,59
347,5477,112
348,6954,144
349,3140,71
350,950,19
351,500,10
352,10645,217
353,6504,135
354,659,14
355,10731,222
356,150,3
357,1827,39
358,13431,276
359,11845,241
360,450,9
361,859,18
362,2950,59
363,24603,506
364,10972,226
365,9127,185
366,200,4
367,5281,113
368,1618,34
369,11154,228
370,17354,352
371,10763,221
372,2195,48
373,750,15
374,10413,214
375,10476,221
376,2890,66
377,3422,75
378,1568,33
379,309,7
380,1018,22
381,9954,204
382,150,3
383,868,19
384,1159,24
385,459,10
386,450,9
387,17635,365
388,450,9
389,1986,43
390,6981,147
391,1250,25
392,2036,44
393,19317,397
394,2518,52
395,9031,188
396,12981,267
397,650,13
398,2645,57
399,450,9
400,4527,93
401,1995,44
402,17740,363
403,2700,54
404,450,9
405,18216,384
406,8386,171
407,150,3
408,150,3
409,15999,329
410,1218,26
411,25125,523
412,250,5
413,818,18
414,17726,366
415,150,3
416,7967,170
417,1550,31
418,29225,605
419,500,10
420,5004,105
421,450,9
422,1050,21
423,500,10
424,10481,217
425,200,4
426,300,6
427,20390,416
428,777,18
429,300,6
430,2931,66
431,5304,111
432,1150,23
433,11226,236
434,5577,114
435,70691,1454
436,4413,94
437,3977,82
438,1286,29
439,8236,168
440,2350,47
441,750,15
442,11440,237
443,2654,58
444,1250,25
445,150,3
446,2100,42
447,4963,105
448,2050,41
449,1336,30
450,309,7
451,18253,379
452,6363,133
453,1418,30
454,54166,1103
455,23798,494
456,1177,26
457,609,13
458,800,16
459,6236,128
460,550,11
461,1150,23
462,518,12
463,1577,34
464,200,4
465,1850,37
466,4486,93
467,200,4
468,5872,124
469,17430,365
470,709,15
471,250,5
472,25471,525
473,600,12
474,4686,97
475,950,19
476,1900,38
477,12654,258
478,1950,39
479,2127,45
480,150,3
481,2400,48
482,17726,366
483,1468,31
484,400,8
485,1409,29
486,14381,295
487,6204,129
488,1972,46
489,20280,422
490,750,15
491,1077,24
492,509,11
493,150,3
494,33920,703
495,20567,422
496,309,7
497,350,7
498,1718,36
499,400,8
500,6904,143
501,600,12
502,6627,135
503,10499,219
504,1000,20
505,1318,28
506,1268,27
507,350,7
508,450,9
509,1227,27
510,450,9
511,8163,169
512,11517,241
513,20593,434
514,1868,39
515,1086,25
516,1200,24
517,800,16
518,3845,81
519,550,11
520,350,7
521,9404,193
522,450,9
523,150,3
524,400,8
525,659,14
526,3186,67
527,20826,428
528,4081,89
529,10454,214
530,500,10
531,5804,121
532,3150,63
533,7722,161
534,150,3
535,650,13
536,550,11
537,700,14
538,859,18
539,5177,106
540,250,5
541,1550,31
542,3386,71
543,6563,137
544,6186,127
545,3081,69
546,2736,58
547,1118,24
548,250,5
549,200,4
550,13176,275
551,400,8
552,33421,684
553,2377,50
554,1300,26
555,3845,81
556,359,8
557,850,17
558,709,15
559,1118,24
560,10586,215
561,9854,202
562,1559,32
563,6145,127
564,74396,1524
565,3527,73
566,13813,282
567,1418,30
568,5627,115
569,150,3
570,14067,292
571,18562,386
572,409,9
573,1400,28
574,950,19
575,250,5
576,1509,31
577,11372,234
578,2768,57
579,13508,280
580,17067,352
581,6036,124
582,11422,235
583,1268,27
584,300,6
585,1000,20
586,750,15
587,950,19
588,9095,186
589,1618,34
590,12231,252
591,22899,467
592,14013,286
593,5477,112
594,8672,180
595,1672,40
596,2345,51
597,459,10
598,900,18
599,650,13
600,250,5
601,23035,473
602,14058,291
603,2500,50
604,31066,641
605,4868,99
606,350,7
607,400,8
608,250,5
609,14135,295
610,3095,66
611,959,20
612,20053,415
613,9886,201
614,12626,264
615,24867,508
616,7495,154
617,150,3
618,8390,176
619,350,7
620,6936,142
621,350,7
622,16776,347
623,1127,25
624,6122,129
625,1759,36
626,450,9
627,3227,67
628,509,11
629,2136,46
630,17999,369
631,5645,117
632,200,4
633,2059,42
634,1745,39
635,30757,634
636,659,14
637,250,5
638,1100,22
639,1300,26
640,17563,357
641,26944,552
642,9426,200
643,900,18
644,250,5
645,359,8
646,550,11
647,850,17
648,1877,40
649,13190,272
650,1200,24
651,25403,522
652,25321,522
653,1059,22
654,2800,56
655,650,13
656,2427,51
657,459,10
658,3386,71
659,5877,120
660,1436,32
661,500,10
662,950,19
663,1550,31
664,600,12
665,250,5
666,32034,662
667,3486,73
668,450,9
669,12331,254
670,668,15
671,1150,23
672,2418,50
673,28753,589
674,2227,47
675,1800,36
676,2754,60
677,22412,463
678,1018,22
679,3318,68
680,26381,535
681,550,11
682,800,16
683,359,8
684,8654,178
685,13385,280
686,350,7
687,4536,94
688,4954,104
689,4968,101
690,29444,602
691,17449,358
692,2104,47
693,6704,139
694,859,18
695,618,14
696,1904,43
697,6995,144
698,2918,60
699,2300,46
700,968,21
701,900,18
702,5868,119
703,250,5
704,300,6
705,300,6
706,10804,221
707,1750,35
708,600,12
709,900,18
710,1486,33
711,2018,42
712,400,8
713,700,14
714,9327,189
715,4004,85
716,8981,187
717,3231,72
718,2518,52
719,4145,87
720,6654,138
721,1936,42
722,5772,122
723,3604,77
724,5804,121
725,19994,413
726,700,14
727,650,13
728,2336,50
729,2418,50
730,509,11
731,7054,146
732,618,14
733,600,12
734,459,10
735,500,10
736,309,7
737,10622,219
738,300,6
739,818,18
740,3886,81
741,3054,66
742,9540,199
743,650,13
744,14699,303
745,927,21
746,300,6
747,21499,439
748,29498,608
749,7413,154
750,450,9
751,7545,155
752,668,15
753,950,19
754,600,12
755,1318,28
756,7554,156
757,5740,123
758,4668,95
759,5440,117
760,850,17
761,1218,26
762,200,4
763,659,14
764,859,18
765,350,7
766,7954,164
767,850,17
768,3836,80
769,11381,235
770,2800,56
771,3077,64
772,7654,158
773,3977,82
774,3395,72
775,1886,41
776,1518,32
777,250,5
778,300,6
779,309,7
780,750,15
781,7217,155
782,309,7
783,768,17
784,309,7
785,400,8
786,13258,275
787,5408,118
788,1545,35
789,1750,35
790,9113,188
791,2227,47
792,3995,84
793,868,19
794,2377,50
795,450,9
796,5872,124
797,950,19
798,2727,57
799,8595,176
800,1000,20
801,609,13
802,650,13
803,2709,55
804,650,13
805,18972,386
806,26744,548
807,200,4
808,550,11
809,22053,455
810,4072,88
811,10876,229
812,10172,210
813,13699,283
814,1500,30
815,2686,57
816,350,7
817,1718,36
818,959,20
819,13035,273
820,900,18
821,8963,185
822,21866,457
823,350,7
824,6222,131
825,600,12
826,1100,22
827,2468,51
828,1668,35
829,1418,30
830,250,5
831,1209,25
832,450,9
833,800,16
834,700,14
835,8145,167
836,11545,235
837,5663,119
838,7749,164
839,750,15
840,1350,27
841,1050,21
842,3422,75
843,6145,127
844,1000,20
845,200,4
846,459,10
847,700,14
848,24399,497
849,2777,58
850,3827,79
851,300,6
852,19226,396
853,400,8
854,459,10
855,7949,168
856,400,8
857,650,13
858,4513,96
859,1686,37
860,309,7
861,150,3
862,200,4
863,450,9
864,5777,118
865,450,9
866,3168,65
867,7881,165
868,927,21
869,8699,183
870,250,5
871,12817,267
872,250,5
873,718,16
874,5013,106
875,3500,70
876,1500,30
877,17463,355
878,500,10
879,1945,43
880,650,13
881,9777,198
882,11790,244
883,6504,135
884,25721,530
885,700,14
886,21653,447
887,16290,334
888,9486,193
889,200,4
890,1518,32
891,8522,177
892,9945,203
893,409,9
894,3827,79
895,3427,71
896,150,3
897,3818,78
898,1750,35
899,7354,152
900,550,11
901,3750,75
902,26076,533
903,3863,83
904,1600,32
905,12931,266
906,800,16
907,2877,60
908,6804,141
909,1318,28
910,7263,151
911,1768,37
912,700,14
913,1750,35
914,850,17
915,1050,21
916,1050,21
917,2218,46
918,9672,200
919,350,7
920,609,13
921,500,10
922,8327,169
923,9772,202
924,1700,34
925,20612,427
926,500,10
927,34566,711
928,6804,141
929,3399,77
930,800,16
931,800,16
932,1500,30
933,17485,362
934,4054,86
935,400,8
936,1759,36
937,8404,173
938,6654,138
939,1900,38
940,827,19
941,250,5
942,9081,189
943,6686,137
944,9213,190
945,1027,23
946,300,6
947,700,14
948,28667,584
949,6627,135
950,1009,21
951,309,7
952,16626,344
953,1918,40
954,7613,158
955,12104,247
956,14490,298
957,1677,36
958,500,10
959,1550,31
960,1668,35
961,659,14
962,1600,32
963,1609,33
964,568,13
965,1700,34
966,10735,227
967,450,9
968,3695,78
969,20699,423
970,6245,129
971,7672,160
972,1400,28
973,1000,20
974,3131,70
975,1350,27
976,500,10
977,559,12
978,150,3
979,5804,121
980,4318,88
981,309,7
982,500,10
983,13699,283
984,1418,30
985,1000,20
986,25075,522
987,968,21
988,659,14
989,2486,53
990,200,4
991,14875,318
992,9131,190
993,54906,1126
994,6736,138
995,3513,76
996,400,8
997,1795,40
998,850,17
999,2136,46
1000,24153,497
1001,609,13
1002,16840,345
1003,1109,23
1004,727,17
1005,250,5
1006,10876,229
1007,709,15
1008,1300,26
1009,23461,493
1010,3399,77
1011,17599,361
1012,250,5
1013,400,8
1014,2027,43
1015,400,8
1016,6168,125
1017,1950,39
1018,8554,176
1019,3959,80
1020,200,4
1021,2818,58
1022,29267,596
1023,14645,297
1024,850,17
1025,10745,219
1026,600,12
1027,668,15
1028,609,13
1029,23208,474
1030,150,3
1031,25902,541
1032,850,17
1033,250,5
1034,750,15
1035,3145,67
1036,6854,142
1037,500,10
1038,700,14
1039,17531,358
1040,2818,58
1041,250,5
1042,150,3
1043,1709,35
1044,6518,132
1045,6227,127
1046,659,14
1047,43197,891
1048,568,13
1049,450,9
1050,450,9
1051,16022,327
1052,8163,169
1053,8590,180
1054,5904,123
1055,800,16
1056,250,5
1057,750,15
1058,2486,53
1059,500,10
1060,1150,23
1061,600,12
1062,1750,35
1063,300,6
1064,450,9
1065,750,15
1066,700,14
1067,22531,458
1068,1477,32
1069,2700,54
1070,250,5
1071,600,12
1072,2168,45
1073,600,12
1074,550,11
1075,650,13
1076,250,5
1077,150,3
1078,7845,161
1079,1359,28
1080,2450,49
1081,950,19
1082,2536,54
1083,1859,38
1084,1895,42
1085,9985,212
1086,25417,519
1087,600,12
1088,1000,20
1089,1727,37
1090,568,13
1091,2045,45
1092,10658,223
1093,309,7
1094,3277,68
1095,909,19
1096,3922,85
1097,200,4
1098,7477,152
1099,250,5
1100,709,15
1101,25235,517
1102,4649,102
1103,4486,93
1104,20894,431
1105,5295,110
1106,700,14
1107,1259,26
1108,1536,34
1109,2727,57
1110,359,8
1111,250,5
1112,1309,27
1113,6345,131
1114,3486,73
1115,200,4
1116,3945,83
1117,1736,38
1118,6904,143
1119,750,15
1120,350,7
1121,6172,130
1122,1359,28
1123,777,18
1124,1150,23
1125,2704,59
1126,2304,51
1127,1400,28
1128,4836,100
1129,650,13
1130,450,9
1131,1550,31
1132,559,12
1133,4000,80
1134,350,7
1135,2250,45
1136,8927,181
1137,1145,27
1138,450,9
1139,1200,24
1140,300,6
1141,1500,30
1142,3036,64
1143,2672,60
1144,550,11
1145,359,8
1146,600,12
1147,1100,22
1148,518,12
1149,900,18
1150,2627,55
1151,350,7
1152,2763,61
1153,10654,218
1154,2054,46
1155,1250,25
1156,550,11
1157,19890,406
1158,650,13
1159,1050,21
1160,550,11
1161,250,5
1162,3454,74
1163,2154,48
1164,1600,32
1165,24721,510
1166,859,18
1167,8895,182
1168,400,8
1169,300,6
1170,950,19
1171,17308,356
1172,200,4
1173,2000,40
1174,4777,98
1175,7104,147
1176,8331,174
1177,4931,106
1178,13294,279
1179,3436,72
1180,4927,101
1181,400,8
1182,700,14
1183,200,4
1184,30548,629
1185,8163,169
1186,17240,353
1187,4477,92
1188,4072,88
1189,19580,408
1190,2045,45
1191,200,4
1192,7945,163
1193,1359,28
1194,9590,200
1195,1300,26
1196,10199,213
1197,16581,339
1198,350,7
1199,1650,33
1200,2313,52
1201,12799,265
1202,6713,140
1203,12667,264
1204,968,21
1205,22717,465
1206,950,19
1207,359,8
1208,150,3
1209,1700,34
1210,25103,516
1211,1418,30
1212,9027,183
1213,16758,345
1214,13558,281
1215,6545,135
1216,400,8
1217,2577,54
1218,650,13
1219,16290,334
1220,918,20
1221,3245,69
1222,2750,55
1223,2877,60
1224,500,10
1225,150,3
1226,10813,222
1227,850,17
1228,150,3
1229,13235,277
1230,16226,336
1231,1000,20
1232,1200,24
1233,500,10
1234,250,5
1235,1050,21
1236,1659,34
1237,850,17
1238,300,6
1239,350,7
1240,6599,141
1241,20699,423
1242,14558,301
1243,9663,199
1244,7631,160
1245,10949,228
1246,2550,51
1247,1677,36
1248,150,3
1249,7895,162
1250,150,3
1251,10940,227
1252,650,13
1253,31226,636
1254,21890,446
1255,9835,209
1256,1300,26
1257,150,3
1258,5895,122
1259,668,15
1260,650,13
1261,11804,241
1262,200,4
1263,10618,214
1264,200,4
1265,250,5
1266,34961,723
1267,150,3
1268,400,8
1269,1627,35
1270,300,6
1271,7554,156
1272,4827,99
1273,450,9
1274,250,5
1275,12572,258
1276,250,5
1277,1168,25
1278,1995,44
1279,400,8
1280,859,18
1281,250,5
1282,868,19
1283,950,19
1284,9813,202
1285,10463,215
1286,6513,136
1287,17904,363
1288,13922,285
1289,750,15
1290,668,15
1291,1445,33
1292,627,15
1293,7849,166
1294,800,16
1295,600,12
1296,936,22
1297,600,12
1298,727,17
1299,500,10
1300,509,11
1301,350,7
1302,41652,856
1303,750,15
1304,450,9
1305,25722,521
1306,15940,327
1307,3368,69
1308,5290,114
1309,300,6
1310,1018,22
1311,350,7
1312,2450,49
1313,12690,262
1314,768,17
1315,4095,86
1316,559,12
1317,3904,83
1318,26593,554
1319,700,14
1320,12672,260
1321,1159,24
1322,1809,37
1323,2195,48
1324,800,16
1325,650,13
1326,10581,219
1327,2027,43
1328,1609,33
1329,4127,85
1330,2668,55
1331,150,3
1332,15976,331
1333,450,9
1334,18135,375
1335,13862,292
1336,800,16
1337,500,10
1338,1109,23
1339,16772,342
1340,1009,21
1341,1359,28
1342,1736,38
1343,2418,50
1344,509,11
1345,22994,473
1346,750,15
1347,500,10
1348,1000,20
1349,150,3
1350,709,15
1351,17513,356
1352,1486,33
1353,4345,91
1354,1627,35
1355,1618,34
1356,850,17
1357,977,22
1358,2359,48
1359,459,10
1360,359,8
1361,6536,134
1362,3000,60
1363,1050,21
1364,1836,40
1365,850,17
1366,550,11
1367,800,16
1368,1000,20
1369,6495,134
1370,1868,39
1371,3977,82
1372,9408,198
1373,450,9
1374,7654,158
1375,1577,34
1376,550,11
1377,3100,62
1378,1100,22
1379,650,13
1380,14399,297
1381,550,11
1382,6722,141
1383,718,16
1384,1600,32
1385,6122,129
1386,750,15
1387,3181,71
1388,1109,23
1389,350,7
1390,21211,448
1391,12231,252
1392,13972,286
1393,6563,137
1394,4795,100
1395,23321,482
1396,700,14
1397,1968,41
1398,41739,852
1399,550,11
1400,350,7
1401,868,19
1402,1450,29
1403,2936,62
1404,5268,107
1405,509,11
1406,12336,250
1407,509,11
1408,2000,40
1409,500,10
1410,12722,261
1411,600,12
1412,8431,176
1413,5781,123
1414,5295,110
1415,32511,674
1416,959,20
1417,5190,112
1418,200,4
1419,13031,268
1420,359,8
1421,2250,45
1422,1359,28
1423,8781,183
1424,19940,407
1425,6813,142
1426,550,11
1427,1750,35
1428,900,18
1429,6836,140
1430,900,18
1431,4536,94
1432,13981,287
1433,14690,302
1434,450,9
1435,2350,47
1436,9263,191
1437,650,13
1438,6345,131
1439,1168,25
1440,1100,22
1441,36125,743
1442,5036,104
1443,750,15
1444,550,11
1445,11031,228
1446,300,6
1447,19999,409
1448,23062,476
1449,9354,192
1450,16521,346
1451,17726,366
1452,7927,161
1453,4327,89
1454,9908,208
1455,1050,21
1456,1700,34
1457,200,4
1458,1450,29
1459,2050,41
1460,950,19
1461,150,3
1462,8245,169
1463,1600,32
1464,1418,30
1465,650,13
1466,459,10
1467,6172,130
1468,6154,128
1469,7763,161
1470,19753,409
1471,19149,392
1472,10004,205
1473,300,6
1474,5018,102
1475,6626,144
1476,8926,190
1477,18730,391
1478,2195,48
1479,600,12
1480,1018,22
1481,300,6
1482,6695,138
1483,10490,218
1484,1859,38
1485,200,4
1486,2218,46
1487,3886,81
1488,600,12
1489,250,5
1490,7254,150
1491,1068,23
1492,850,17
1493,550,11
1494,150,3
1495,2018,42
1496,1200,24
1497,800,16
1498,1350,27
1499,968,21
1500,5354,112
1501,609,13
1502,550,11
1503,8522,177
1504,1818,38
1505,2045,45
1506,6027,123
1507,2745,59
1508,2818,58
1509,400,8
1510,1727,37
1511,1550,31
1512,600,12
1513,559,12
1514,3818,78
1515,1250,25
1516,950,19
1517,8422,175
1518,868,19
1519,9754,200
1520,450,9
1521,918,20
1522,350,7
1523,12781,263
1524,200,4
1525,1600,32
1526,18327,369
1527,1059,22
1528,4536,94
1529,1700,34
1530,2886,61
1531,800,16
1532,150,3
1533,1250,25
1534,600,12
1535,1000,20
1536,300,6
1537,3186,67
1538,3436,72
1539,10013,206
1540,21290,434
1541,2754,60
1542,22303,460
1543,700,14
1544,450,9
1545,4777,98
1546,5104,107
1547,29566,611
1548,2672,60
1549,450,9
1550,4327,89
1551,1936,42
1552,11067,232
1553,1500,30
1554,550,11
1555,568,13
1556,800,16
1557,3845,81
1558,150,3
1559,1286,29
1560,56388,1154
1561,15813,322
1562,17099,351
1563,627,15
1564,850,17
1565,11722,241
1566,850,17
1567,300,6
1568,1200,24
1569,29166,603
1570,18758,385
1571,300,6
1572,350,7
1573,1000,20
1574,759,16
1575,14649,302
1576,150,3
1577,3450,69
1578,550,11
1579,7527,153
1580,200,4
1581,968,21
1582,309,7
1583,24822,503
1584,459,10
1585,400,8
1586,1800,36
1587,659,14
1588,3636,76
1589,600,12
1590,14522,297
1591,2077,44
1592,4436,92
1593,13945,283
1594,800,16
1595,2568,53
1596,1100,22
1597,2877,60
1598,23758,485
1599,8204,169
1600,1118,24
1601,600,12
1602,400,8
1603,1868,39
1604,3259,66
1605,200,4
1606,22258,455
1607,20590,420
1608,900,18
1609,950,19
1610,24157,502
1611,1077,24
1612,3304,71
1613,12499,259
1614,409,9
1615,4113,88
1616,1000,20
1617,6390,136
1618,8136,166
1619,2977,62
1620,250,5
1621,650,13
1622,3450,69
1623,5568,113
1624,1250,25
1625,550,11
1626,42506,878
1627,800,16
1628,4000,80
1629,8031,168
1630,3077,64
1631,1009,21
1632,3672,80
1633,6331,134
1634,8813,182
1635,859,18
1636,700,14
1637,11621,248
1638,1127,25
1639,6227,127
1640,6672,140
1641,12999,269
1642,1350,27
1643,250,5
1644,9227,187
1645,7704,159
1646,1150,23
1647,1159,24
1648,550,11
1649,2277,48
1650,2200,44
1651,4986,103
1652,509,11
1653,450,9
1654,500,10
1655,12113,248
1656,250,5
1657,1050,21
1658,4886,101
1659,300,6
1660,1018,22
1661,150,3
1662,15231,312
1663,250,5
1664,650,13
1665,10580,228
1666,4949,108
1667,2886,61
1668,1018,22
1669,10413,214
1670,38516,790
1671,8081,169
1672,2145,47
1673,24349,496
1674,1600,32
1675,12945,263
1676,29962,614
1677,3036,64
1678,17526,362
1679,8613,178
1680,400,8
1681,13585,284
1682,400,8
1683,17113,348
1684,1659,34
1685,5281,113
1686,1359,28
1687,9581,199
1688,1727,37
1689,600,12
1690,6554,136
1691,2063,47
1692,650,13
1693,13177,266
1694,2218,46
1695,700,14
1696,909,19
1697,2218,46
1698,14399,297
1699,1627,35
1700,9217,195
1701,1018,22
1702,818,18
1703,827,19
1704,2300,46
1705,400,8
1706,400,8
1707,950,19
1708,2568,53
1709,5227,107
1710,1209,25
1711,900,18
1712,14231,292
1713,200,4
1714,22126,454
1715,12486,253
1716,1450,29
1717,15531,318
1718,10890,226
1719,9845,201
1720,2000,40
1721,650,13
1722,800,16
1723,3195,68
1724,918,20
1725,309,7
1726,1200,24
1727,2586,55
1728,7704,159
1729,28153,577
1730,550,11
1731,2177,46
1732,918,20
1733,20622,419
1734,13272,272
1735,668,15
1736,7435,161
1737,750,15
1738,950,19
1739,1659,34
1740,25076,513
1741,14626,304
1742,3118,64
1743,150,3
1744,2950,59
1745,1350,27
1746,9263,191
1747,30539,628
1748,550,11
1749,7967,170
1750,3495,74
1751,6222,131
1752,8354,172
1753,14840,305
1754,10699,223
1755,750,15
1756,350,7
1757,6504,135
1758,1250,25
1759,6372,134
1760,400,8
1761,4527,93
1762,17535,363
1763,1209,25
1764,10122,209
1765,13640,281
1766,1509,31
1767,1850,37
1768,650,13
1769,500,10
1770,350,7
1771,2068,43
1772,9635,205
1773,1950,39
1774,650,13
1775,2350,47
1776,7013,146
1777,550,11
1778,609,13
1779,6854,142
1780,359,8
1781,13577,274
1782,450,9
1783,500,10
1784,450,9
1785,1150,23
1786,550,11
1787,1068,23
1788,14826,308
1789,1450,29
1790,46929,964
1791,15762,330
1792,4545,95
1793,9745,199
1794,7995,164
1795,750,15
1796,11681,241
1797,1350,27
1798,1018,22
1799,2177,46
1800,34180,700
1801,850,17
1802,32698,672
1803,250,5
1804,4286,89
1805,200,4
1806,800,16
1807,500,10
1808,1477,32
1809,300,6
1810,28721,590
1811,4195,88
1812,20794,429
1813,1850,37
1814,18358,377
1815,6895,142
1816,2800,56
1817,1000,20
1818,17181,351
1819,350,7
1820,1300,26
1821,750,15
1822,1718,36
1823,1500,30
1824,650,13
1825,1750,35
1826,600,12
1827,2350,47
1828,5468,111
1829,609,13
1830,1250,25
1831,16062,336
1832,909,19
1833,10577,214
1834,2150,43
1835,19821,412
1836,1050,21
1837,800,16
1838,5572,118
1839,1300,26
1840,150,3
1841,1300,26
1842,5377,110
1843,959,20
1844,550,11
1845,1818,38
1846,3395,72
1847,4340,95
1848,1518,32
1849,250,5
1850,1118,24
1851,15640,321
1852,6140,131
1853,350,7
1854,14858,307
1855,4558,101
1856,26467,540
1857,1000,20
1858,8990,188
1859,15108,312
1860,1000,20
1861,1695,38
1862,3695,78
1863,400,8
1864,1050,21
1865,10853,231
1866,1100,22
1867,200,4
1868,250,5
1869,43284,887
1870,250,5
1871,650,13
1872,1750,35
1873,25607,531
1874,200,4
1875,8458,179
1876,17035,353
1877,1400,28
1878,2095,46
1879,400,8
1880,3500,70
1881,2150,43
1882,2850,57
1883,8213,170
1884,250,5
1885,21462,444
1886,4163,89
1887,800,16
1888,25867,528
1889,850,17
1890,600,12
1891,10854,222
1892,300,6
1893,14831,304
1894,1968,41
1895,950,19
1896,4122,89
1897,1127,25
1898,1050,21
1899,2000,40
1900,1009,21
1901,759,16
1902,650,13
1903,18294,379
1904,2200,44
1905,2350,47
1906,3527,73
1907,150,3
1908,400,8
1909,850,17
1910,859,18
1911,26226,536
1912,1109,23
1913,2768,57
1914,1000,20
1915,1550,31
1916,3054,66
1917,2677,56
1918,3245,69
1919,659,14
1920,1059,22
1921,600,12
1922,6463,135
1923,3159,64
1924,3236,68
1925,1459,30
1926,20812,431
1927,500,10
1928,1509,31
1929,14113,288
1930,550,11
1931,11008,230
1932,10454,214
1933,10349,216
1934,2259,46
1935,5963,125
1936,1586,35
1937,2986,63
1938,2009,41
1939,450,9
1940,7345,151
1941,8113,168
1942,26784,557
1943,1377,30
1944,3227,67
1945,850,17
1946,150,3
1947,7544,164
1948,19303,400
1949,250,5
1950,18376,379
1951,1250,25
1952,250,5
1953,750,15
1954,26258,535
1955,12317,257
