,SPENDMONEY,SPENDTIMES
596,550,11
597,150,3
598,800,16
599,800,16
600,2800,56
601,400,8
602,600,12
603,100,2
604,650,13
605,450,9
606,950,19
607,900,18
608,150,3
609,300,6
610,1150,23
611,850,17
612,400,8
613,250,5
614,300,6
615,900,18
616,150,3
617,350,7
618,300,6
619,300,6
620,550,11
621,600,12
622,700,14
623,1550,31
624,200,4
625,2100,42
626,250,5
627,100,2
628,750,15
629,300,6
630,900,18
631,1150,23
632,450,9
633,250,5
634,150,3
635,200,4
636,500,10
637,500,10
638,1050,21
639,850,17
640,1950,39
641,600,12
642,150,3
643,1250,25
644,650,13
645,150,3
646,150,3
647,1050,21
648,100,2
649,550,11
650,150,3
651,2250,45
652,750,15
653,650,13
654,1400,28
655,350,7
656,1150,23
657,1450,29
658,400,8
659,1500,30
660,400,8
661,350,7
662,1050,21
663,800,16
664,450,9
665,200,4
666,100,2
667,1100,22
668,750,15
669,100,2
670,900,18
671,200,4
672,250,5
673,100,2
674,550,11
675,650,13
676,1400,28
677,250,5
678,600,12
679,400,8
680,100,2
681,150,3
682,1850,37
683,450,9
684,950,19
685,250,5
686,200,4
687,500,10
688,300,6
689,850,17
690,800,16
691,550,11
692,700,14
693,250,5
694,900,18
695,1500,30
696,100,2
697,450,9
698,100,2
699,1400,28
700,1100,22
701,750,15
702,200,4
703,300,6
704,600,12
705,1350,27
706,400,8
707,1700,34
708,700,14
709,950,19
710,950,19
711,750,15
712,600,12
713,200,4
714,1450,29
715,300,6
716,750,15
717,700,14
718,400,8
719,1100,22
720,1850,37
721,700,14
722,1150,23
723,1050,21
724,250,5
725,2000,40
726,450,9
727,1000,20
728,700,14
729,400,8
730,400,8
731,500,10
732,1400,28
733,2100,42
734,100,2
735,100,2
736,150,3
737,550,11
738,750,15
739,100,2
740,500,10
741,550,11
742,500,10
743,100,2
744,300,6
745,250,5
746,1350,27
747,100,2
748,1050,21
749,100,2
750,1000,20
751,250,5
752,250,5
753,300,6
754,1050,21
755,100,2
756,2050,41
757,750,15
758,650,13
759,1350,27
760,600,12
761,300,6
762,550,11
763,400,8
764,150,3
765,1450,29
766,300,6
767,600,12
768,500,10
769,450,9
770,350,7
771,1150,23
772,2650,53
773,150,3
774,1700,34
775,100,2
776,150,3
777,500,10
778,400,8
779,500,10
780,200,4
781,1200,24
782,150,3
783,100,2
784,550,11
785,200,4
786,1350,27
787,150,3
788,700,14
789,1400,28
790,250,5
791,250,5
792,1800,36
793,550,11
794,450,9
795,650,13
796,350,7
797,200,4
798,200,4
799,2150,43
800,300,6
801,350,7
802,100,2
803,1750,35
804,750,15
805,950,19
806,1400,28
807,150,3
808,950,19
809,350,7
810,150,3
811,1100,22
812,100,2
813,500,10
814,400,8
815,600,12
816,400,8
817,900,18
818,750,15
819,2350,47
820,2100,42
821,900,18
822,100,2
823,800,16
824,1300,26
825,300,6
826,900,18
827,1200,24
828,850,17
829,3250,65
830,450,9
831,150,3
832,500,10
833,300,6
834,900,18
835,350,7
836,200,4
837,1600,32
838,800,16
839,600,12
840,1350,27
841,300,6
842,350,7
843,250,5
844,100,2
845,300,6
846,500,10
847,1200,24
848,150,3
849,650,13
850,3550,71
851,150,3
852,650,13
853,1250,25
854,500,10
855,2000,40
856,250,5
857,800,16
858,2300,46
859,2750,55
860,950,19
861,450,9
862,100,2
863,400,8
864,350,7
865,3050,61
866,100,2
867,1500,30
868,3000,60
869,1450,29
870,200,4
871,300,6
872,100,2
873,350,7
874,800,16
875,500,10
876,2200,44
877,150,3
878,1600,32
879,350,7
880,250,5
881,600,12
882,350,7
883,850,17
884,1400,28
885,250,5
886,900,18
887,500,10
888,1550,31
889,1100,22
890,950,19
891,2900,58
892,150,3
893,2000,40
894,1850,37
895,250,5
896,250,5
897,350,7
898,100,2
899,550,11
900,300,6
901,450,9
902,300,6
903,100,2
904,450,9
905,100,2
906,400,8
907,100,2
908,400,8
909,400,8
910,100,2
911,650,13
912,100,2
913,450,9
914,700,14
915,400,8
916,350,7
917,1600,32
918,200,4
919,800,16
920,100,2
921,600,12
922,100,2
923,500,10
924,200,4
925,1400,28
926,450,9
927,900,18
928,150,3
929,1650,33
930,600,12
931,100,2
932,450,9
933,300,6
934,1150,23
935,100,2
936,600,12
937,100,2
938,100,2
939,350,7
940,350,7
941,300,6
942,1750,35
943,200,4
944,200,4
945,450,9
946,500,10
947,700,14
948,350,7
949,1900,38
950,750,15
951,200,4
952,750,15
953,950,19
954,1300,26
955,1450,29
956,400,8
957,1150,23
958,3700,74
959,600,12
960,250,5
961,500,10
962,150,3
963,350,7
964,100,2
965,1100,22
966,600,12
967,400,8
968,300,6
969,150,3
970,500,10
971,1100,22
972,1350,27
973,350,7
974,300,6
975,1050,21
976,2250,45
977,150,3
978,700,14
979,800,16
980,150,3
981,250,5
982,1000,20
983,800,16
984,100,2
985,850,17
986,1000,20
987,650,13
988,1050,21
989,250,5
990,750,15
991,1700,34
992,450,9
993,350,7
994,300,6
995,100,2
996,150,3
997,300,6
998,1150,23
999,100,2
1000,300,6
1001,300,6
1002,250,5
1003,450,9
1004,450,9
1005,250,5
1006,1350,27
1007,600,12
1008,550,11
1009,450,9
1010,300,6
1011,100,2
1012,200,4
1013,400,8
1014,350,7
1015,350,7
1016,500,10
1017,1950,39
1018,350,7
1019,500,10
1020,250,5
1021,650,13
1022,1000,20
1023,200,4
1024,700,14
1025,800,16
1026,200,4
1027,1650,33
1028,750,15
1029,800,16
1030,2700,54
1031,350,7
1032,150,3
1033,700,14
1034,550,11
1035,2200,44
1036,400,8
1037,1000,20
1038,200,4
1039,150,3
1040,650,13
1041,1300,26
1042,550,11
1043,600,12
1044,100,2
1045,2550,51
1046,350,7
1047,1250,25
1048,250,5
1049,100,2
1050,400,8
1051,250,5
1052,100,2
1053,100,2
1054,500,10
1055,1100,22
1056,600,12
1057,950,19
1058,250,5
1059,750,15
1060,450,9
1061,100,2
1062,800,16
1063,100,2
1064,100,2
1065,650,13
1066,300,6
1067,600,12
1068,950,19
1069,150,3
1070,2950,59
1071,1150,23
1072,450,9
1073,300,6
1074,500,10
1075,250,5
1076,150,3
1077,250,5
1078,700,14
1079,150,3
1080,300,6
1081,450,9
1082,2000,40
1083,100,2
1084,1300,26
1085,350,7
1086,200,4
1087,300,6
1088,1150,23
1089,350,7
1090,550,11
1091,3400,68
1092,750,15
1093,400,8
1094,950,19
1095,300,6
1096,500,10
1097,150,3
1098,900,18
1099,350,7
1100,450,9
1101,400,8
1102,300,6
1103,200,4
1104,650,13
1105,200,4
1106,600,12
1107,750,15
1108,1100,22
1109,1600,32
1110,300,6
1111,200,4
1112,100,2
1113,100,2
1114,750,15
1115,100,2
1116,2950,59
1117,1000,20
1118,1000,20
1119,600,12
1120,100,2
1121,1550,31
1122,1950,39
1123,150,3
1124,500,10
1125,2800,56
1126,450,9
1127,200,4
1128,1100,22
1129,150,3
1130,100,2
1131,350,7
1132,1600,32
1133,150,3
1134,150,3
1135,950,19
1136,450,9
1137,150,3
1138,750,15
1139,2300,46
1140,650,13
1141,300,6
1142,350,7
1143,350,7
1144,250,5
1145,550,11
1146,400,8
1147,100,2
1148,200,4
1149,300,6
1150,250,5
1151,200,4
1152,100,2
1153,450,9
1154,300,6
1155,1100,22
1156,200,4
1157,300,6
1158,750,15
1159,350,7
1160,400,8
1161,350,7
1162,100,2
1163,250,5
1164,500,10
1165,1300,26
1166,1050,21
1167,250,5
1168,200,4
1169,2100,42
1170,100,2
1171,1700,34
1172,2350,47
1173,1100,22
1174,550,11
1175,1000,20
1176,250,5
1177,1400,28
1178,2950,59
1179,550,11
1180,1000,20
1181,600,12
1182,400,8
1183,400,8
1184,350,7
1185,150,3
1186,950,19
1187,300,6
1188,950,19
1189,300,6
1190,600,12
1191,450,9
1192,1650,33
1193,800,16
1194,200,4
1195,1100,22
1196,200,4
1197,950,19
1198,500,10
1199,250,5
1200,850,17
1201,1200,24
1202,250,5
1203,250,5
1204,650,13
1205,450,9
1206,200,4
1207,100,2
1208,650,13
1209,350,7
1210,700,14
1211,250,5
1212,400,8
1213,650,13
1214,800,16
1215,550,11
1216,200,4
1217,1500,30
1218,250,5
1219,500,10
1220,2050,41
1221,1950,39
1222,1400,28
1223,300,6
1224,400,8
1225,2050,41
1226,600,12
1227,800,16
1228,100,2
1229,300,6
1230,1250,25
1231,1400,28
1232,700,14
1233,150,3
1234,450,9
1235,350,7
1236,1500,30
1237,100,2
1238,200,4
1239,1200,24
1240,1650,33
1241,400,8
1242,500,10
1243,550,11
1244,150,3
1245,350,7
1246,1100,22
1247,650,13
1248,100,2
1249,300,6
1250,1100,22
1251,1500,30
1252,100,2
1253,1450,29
1254,150,3
1255,200,4
1256,1600,32
1257,900,18
1258,1150,23
1259,100,2
1260,850,17
1261,150,3
1262,750,15
1263,500,10
1264,350,7
1265,450,9
1266,1000,20
1267,200,4
1268,200,4
1269,700,14
1270,1600,32
1271,500,10
1272,150,3
1273,350,7
1274,1700,34
1275,500,10
1276,200,4
1277,100,2
1278,600,12
1279,750,15
1280,150,3
1281,2800,56
1282,600,12
1283,1050,21
1284,750,15
1285,450,9
1286,350,7
1287,100,2
1288,800,16
1289,100,2
1290,2000,40
1291,500,10
1292,200,4
1293,1100,22
1294,500,10
1295,550,11
1296,900,18
1297,100,2
1298,200,4
1299,2550,51
1300,300,6
1301,150,3
1302,250,5
1303,250,5
1304,550,11
1305,1850,37
1306,600,12
1307,1350,27
1308,200,4
1309,2750,55
1310,1200,24
1311,350,7
1312,150,3
1313,150,3
1314,450,9
1315,250,5
1316,650,13
1317,500,10
1318,650,13
1319,400,8
1320,150,3
1321,1100,22
1322,1450,29
1323,400,8
1324,1450,29
1325,200,4
1326,1400,28
1327,550,11
1328,450,9
1329,650,13
1330,600,12
1331,1200,24
1332,900,18
1333,350,7
1334,700,14
1335,300,6
1336,100,2
1337,500,10
1338,650,13
1339,1300,26
1340,200,4
1341,2350,47
1342,1400,28
1343,2550,51
1344,2050,41
1345,150,3
1346,250,5
1347,100,2
1348,800,16
1349,850,17
1350,100,2
1351,100,2
1352,950,19
1353,600,12
1354,150,3
1355,550,11
1356,650,13
1357,100,2
1358,450,9
1359,500,10
1360,650,13
1361,1550,31
1362,1450,29
1363,1750,35
1364,100,2
1365,200,4
1366,650,13
1367,150,3
1368,1450,29
1369,800,16
1370,500,10
1371,2700,54
1372,450,9
1373,300,6
1374,400,8
1375,1150,23
1376,1450,29
1377,550,11
1378,150,3
1379,1550,31
1380,400,8
1381,800,16
1382,1850,37
1383,850,17
1384,2050,41
1385,3650,73
1386,1850,37
1387,100,2
1388,2100,42
1389,500,10
1390,2750,55
1391,1050,21
1392,900,18
1393,750,15
1394,150,3
1395,450,9
1396,100,2
1397,550,11
1398,1150,23
1399,850,17
1400,3050,61
1401,800,16
1402,300,6
1403,750,15
1404,150,3
1405,850,17
1406,750,15
1407,1300,26
1408,700,14
1409,600,12
1410,950,19
1411,150,3
1412,350,7
1413,200,4
1414,100,2
1415,750,15
1416,450,9
1417,100,2
1418,400,8
1419,600,12
1420,200,4
1421,450,9
1422,400,8
1423,900,18
1424,500,10
1425,100,2
1426,300,6
1427,900,18
1428,1400,28
1429,1450,29
1430,550,11
1431,1600,32
1432,1300,26
1433,200,4
1434,2150,43
1435,100,2
1436,800,16
1437,850,17
1438,1050,21
1439,500,10
1440,1050,21
1441,450,9
1442,500,10
1443,200,4
1444,100,2
1445,350,7
1446,500,10
1447,500,10
1448,550,11
1449,250,5
1450,300,6
1451,800,16
1452,150,3
1453,600,12
1454,1650,33
1455,300,6
1456,450,9
1457,1550,31
1458,250,5
1459,400,8
1460,350,7
1461,100,2
1462,150,3
1463,950,19
1464,700,14
1465,1300,26
1466,1550,31
1467,550,11
1468,250,5
1469,100,2
1470,550,11
1471,450,9
1472,1900,38
1473,100,2
1474,1350,27
1475,300,6
1476,350,7
1477,750,15
1478,2150,43
1479,350,7
1480,1850,37
1481,900,18
1482,1050,21
1483,350,7
1484,550,11
1485,400,8
1486,350,7
1487,100,2
1488,350,7
1489,650,13
1490,1900,38
1491,400,8
1492,150,3
1493,450,9
1494,600,12
1495,1200,24
1496,1600,32
1497,100,2
1498,100,2
1499,150,3
1500,300,6
1501,3150,63
1502,400,8
1503,450,9
1504,850,17
1505,650,13
1506,650,13
1507,900,18
1508,150,3
1509,300,6
1510,2500,50
1511,5050,101
1512,400,8
1513,400,8
1514,2600,52
1515,800,16
1516,1000,20
1517,500,10
1518,3100,62
1519,250,5
1520,200,4
1521,900,18
1522,600,12
1523,850,17
1524,350,7
1525,850,17
1526,1200,24
1527,1150,23
1528,600,12
1529,2050,41
1530,2850,57
1531,650,13
1532,200,4
1533,850,17
1534,1200,24
1535,500,10
1536,200,4
1537,300,6
1538,500,10
1539,200,4
1540,950,19
1541,1300,26
1542,150,3
1543,600,12
1544,1250,25
1545,750,15
1546,500,10
1547,450,9
1548,600,12
1549,400,8
1550,100,2
1551,750,15
1552,950,19
1553,750,15
1554,300,6
1555,700,14
1556,150,3
1557,250,5
1558,250,5
1559,200,4
1560,100,2
1561,1700,34
1562,350,7
1563,600,12
1564,300,6
1565,250,5
1566,1850,37
1567,1250,25
1568,850,17
1569,400,8
1570,300,6
1571,250,5
1572,200,4
1573,1150,23
1574,200,4
1575,5350,107
1576,100,2
1577,1300,26
1578,300,6
1579,100,2
1580,2000,40
1581,200,4
1582,1650,33
1583,250,5
1584,1900,38
1585,1850,37
1586,700,14
1587,1150,23
1588,250,5
1589,1850,37
1590,100,2
1591,1150,23
1592,400,8
1593,1200,24
1594,1700,34
1595,1050,21
1596,950,19
1597,1750,35
1598,300,6
1599,200,4
1600,500,10
1601,850,17
1602,1450,29
1603,250,5
1604,1250,25
1605,250,5
1606,1050,21
1607,200,4
1608,1100,22
1609,150,3
1610,1200,24
1611,750,15
1612,1250,25
1613,1050,21
1614,500,10
1615,750,15
1616,450,9
1617,1050,21
1618,2150,43
1619,1250,25
1620,200,4
1621,100,2
1622,700,14
1623,150,3
1624,1650,33
1625,1150,23
1626,1550,31
1627,250,5
1628,600,12
1629,500,10
1630,550,11
1631,700,14
1632,150,3
1633,1250,25
1634,150,3
1635,550,11
1636,650,13
1637,1250,25
1638,500,10
1639,350,7
1640,250,5
1641,1250,25
1642,300,6
1643,350,7
1644,450,9
1645,800,16
1646,200,4
1647,700,14
1648,2050,41
1649,1650,33
1650,400,8
1651,100,2
1652,250,5
1653,450,9
1654,250,5
1655,350,7
1656,350,7
1657,550,11
1658,150,3
1659,1550,31
1660,3150,63
1661,700,14
1662,1100,22
1663,750,15
1664,900,18
1665,400,8
1666,500,10
1667,1700,34
1668,250,5
1669,550,11
1670,2550,51
1671,200,4
1672,1800,36
1673,1600,32
1674,400,8
1675,250,5
1676,100,2
1677,300,6
1678,800,16
1679,150,3
1680,300,6
1681,600,12
1682,650,13
1683,350,7
1684,250,5
1685,250,5
1686,200,4
1687,700,14
1688,300,6
1689,1400,28
1690,650,13
1691,150,3
1692,450,9
1693,1550,31
1694,150,3
1695,200,4
1696,1050,21
1697,500,10
1698,150,3
1699,100,2
1700,650,13
1701,2650,53
1702,400,8
1703,950,19
1704,1550,31
1705,200,4
1706,1350,27
1707,450,9
1708,400,8
1709,350,7
1710,650,13
1711,200,4
1712,300,6
1713,1100,22
1714,2400,48
1715,250,5
1716,1800,36
1717,300,6
1718,400,8
1719,1100,22
1720,700,14
1721,350,7
1722,1000,20
1723,650,13
1724,950,19
1725,400,8
1726,2250,45
1727,550,11
1728,2300,46
1729,400,8
1730,1200,24
1731,1800,36
1732,200,4
1733,950,19
1734,600,12
1735,800,16
1736,450,9
1737,250,5
1738,550,11
1739,100,2
1740,300,6
1741,1400,28
1742,1950,39
1743,950,19
1744,1000,20
1745,150,3
1746,1250,25
1747,500,10
1748,2050,41
1749,1600,32
1750,150,3
1751,200,4
1752,500,10
1753,1150,23
1754,850,17
1755,250,5
1756,2150,43
1757,1650,33
1758,1150,23
1759,1400,28
1760,450,9
1761,1050,21
1762,850,17
1763,500,10
1764,1200,24
1765,350,7
1766,1050,21
1767,700,14
1768,250,5
1769,1900,38
1770,1250,25
1771,400,8
1772,1450,29
1773,200,4
1774,300,6
1775,550,11
1776,1250,25
1777,250,5
1778,1300,26
1779,200,4
1780,250,5
1781,200,4
1782,400,8
1783,750,15
1784,1200,24
1785,300,6
1786,550,11
1787,1700,34
1788,450,9
1789,1300,26
1790,2650,53
1791,700,14
1792,1250,25
1793,250,5
1794,150,3
1795,150,3
1796,150,3
1797,150,3
1798,500,10
1799,800,16
1800,250,5
1801,1600,32
1802,450,9
1803,850,17
1804,1900,38
1805,150,3
1806,100,2
1807,700,14
1808,350,7
1809,100,2
1810,2250,45
1811,300,6
1812,1950,39
1813,400,8
1814,700,14
1815,300,6
1816,300,6
1817,1000,20
1818,300,6
1819,100,2
1820,1350,27
1821,550,11
1822,1100,22
1823,650,13
1824,150,3
1825,1250,25
1826,750,15
1827,3700,74
1828,250,5
1829,650,13
1830,400,8
1831,800,16
1832,150,3
1833,2200,44
1834,2400,48
1835,100,2
1836,200,4
1837,100,2
1838,650,13
1839,1350,27
1840,900,18
1841,350,7
1842,2200,44
1843,1450,29
1844,1200,24
1845,950,19
1846,1200,24
1847,100,2
1848,450,9
1849,550,11
1850,400,8
1851,450,9
1852,550,11
1853,900,18
1854,300,6
1855,100,2
1856,1150,23
1857,900,18
1858,1050,21
1859,400,8
1860,1200,24
1861,250,5
1862,1050,21
1863,650,13
1864,800,16
1865,500,10
1866,2500,50
1867,750,15
1868,200,4
1869,1400,28
1870,2850,57
1871,700,14
1872,550,11
1873,1200,24
1874,500,10
1875,500,10
1876,800,16
1877,900,18
1878,300,6
1879,200,4
1880,100,2
1881,650,13
1882,600,12
1883,500,10
1884,2550,51
1885,250,5
1886,700,14
1887,650,13
1888,550,11
1889,300,6
1890,350,7
1891,150,3
1892,1850,37
1893,850,17
1894,1250,25
1895,1600,32
1896,200,4
1897,1700,34
1898,100,2
1899,850,17
1900,300,6
1901,400,8
1902,400,8
1903,400,8
1904,200,4
1905,2000,40
1906,200,4
1907,400,8
1908,200,4
1909,750,15
1910,200,4
1911,2100,42
1912,200,4
1913,1500,30
1914,2400,48
1915,1450,29
1916,450,9
1917,500,10
1918,550,11
1919,1050,21
1920,150,3
1921,600,12
1922,300,6
1923,250,5
1924,2500,50
1925,100,2
1926,1050,21
1927,650,13
1928,300,6
1929,450,9
1930,400,8
1931,100,2
1932,100,2
1933,650,13
1934,350,7
1935,750,15
1936,100,2
1937,1100,22
1938,200,4
1939,200,4
1940,450,9
1941,500,10
1942,3600,72
1943,100,2
1944,1250,25
1945,100,2
1946,300,6
1947,2250,45
1948,500,10
1949,300,6
1950,400,8
1951,500,10
1952,1300,26
1953,1000,20
1954,550,11
1955,1600,32
1956,150,3
1957,250,5
1958,1350,27
1959,350,7
1960,300,6
1961,250,5
1962,350,7
1963,1100,22
1964,700,14
1965,100,2
1966,550,11
1967,650,13
1968,150,3
1969,200,4
1970,250,5
1971,150,3
1972,250,5
1973,150,3
1974,150,3
1975,2700,54
1976,950,19
1977,600,12
1978,200,4
1979,250,5
1980,500,10
1981,700,14
1982,250,5
1983,450,9
1984,100,2
1985,150,3
1986,100,2
1987,700,14
1988,900,18
1989,250,5
1990,3000,60
1991,300,6
1992,1500,30
1993,100,2
1994,600,12
1995,100,2
1996,500,10
1997,1600,32
1998,800,16
1999,100,2
2000,500,10
2001,100,2
2002,1400,28
2003,450,9
2004,150,3
2005,800,16
2006,650,13
2007,1400,28
2008,750,15
2009,200,4
2010,350,7
2011,400,8
2012,1950,39
2013,200,4
2014,350,7
2015,250,5
2016,150,3
2017,350,7
2018,1000,20
2019,200,4
2020,400,8
2021,500,10
2022,1650,33
2023,1000,20
2024,1850,37
2025,300,6
2026,400,8
2027,1200,24
2028,800,16
2029,1200,24
2030,200,4
2031,600,12
2032,900,18
2033,1850,37
2034,1750,35
2035,200,4
2036,200,4
2037,2950,59
2038,900,18
2039,1450,29
2040,1500,30
2041,1300,26
2042,250,5
2043,1400,28
2044,500,10
2045,2700,54
2046,2600,52
2047,450,9
2048,300,6
2049,100,2
2050,500,10
2051,150,3
2052,250,5
2053,500,10
2054,1050,21
2055,2050,41
2056,2950,59
2057,200,4
2058,300,6
2059,100,2
2060,1100,22
2061,350,7
2062,1000,20
